"Date","RegionName","State","Metro","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2019-04-30,"Perry County","PA","Harrisburg-Carlisle",920,1196,-0.000835421888053467,-0.0058187863674148,-0.00166944908180301,12966
2019-04-30,"Saint John the Baptist Parish","LA","New Orleans-Metairie",921,1210,-0.00165016501650165,0.000827129859387924,0.0228233305156382,12502
2019-04-30,"Barron County","WI",,922,1093,0,0.012037037037037,0.0479386385426654,15688
2019-04-30,"Logan County","OH","Bellefontaine",923,1023,0.000978473581213307,0.00688976377952756,0.017910447761194,17364
2019-04-30,"Pittsburg County","OK","McAlester",924,850,0.00117785630153121,0.00117785630153121,0.00235849056603774,15423
2019-04-30,"Baldwin County","GA","Milledgeville",925,1074,-0.0110497237569061,-0.0200729927007299,0.0366795366795367,9482
2019-04-30,"Bingham County","ID","Blackfoot",926,1049,-0.025092936802974,-0.0437556973564266,0.0294406280667321,13133
2019-04-30,"Calaveras County","CA",,927,1637,-0.0054678007290401,-0.00304506699147381,0.0276208411801632,21174
2019-04-30,"Vance County","NC","Henderson",928,964,-0.0153217568947906,-0.0242914979757085,0.0444203683640303,7065
2019-04-30,"Branch County","MI","Coldwater",929,957,-0.00208550573514077,-0.0154320987654321,-0.0103412616339193,17861
2019-04-30,"Phelps County","MO","Rolla",930,818,-0.00122100122100122,0.0111248454882571,0.10840108401084,15708
2019-04-30,"Tazewell County","VA","Bluefield",931,1037,0.00387221684414327,0.0107212475633528,0.0453629032258065,9321
2019-04-30,"Itasca County","MN","Grand Rapids",932,1198,-0.0066334991708126,-0.0172272354388843,-0.0252237591537836,25497
2019-04-30,"Bedford County","TN","Shelbyville",933,1217,-0.00490596892886345,-0.00734094616639478,0.0209731543624161,15107
2019-04-30,"Stephens County","OK","Duncan",934,721,-0.00551724137931034,-0.0123287671232877,-0.0150273224043716,18299
2019-04-30,"Siskiyou County","CA",,935,1526,-0.0045662100456621,0.00460829493087558,0.0754052149400987,19391
2019-04-30,"Lincoln County","SD","Sioux Falls",936,1166,0.0112749349522984,0.0103986135181976,-0.0919003115264798,6082
2019-04-30,"Whitman County","WA","Pullman",937,1413,-0.00211864406779661,-0.00492957746478873,0.0576347305389222,8785
2019-04-30,"Thomas County","GA","Thomasville",938,1025,-0.00291828793774319,-0.005819592628516,0.0588842975206612,13632
2019-04-30,"Monroe County","WI",,939,1044,0.00481231953801732,0.0205278592375367,0.0235294117647059,14216
2019-04-30,"Monroe County","TN",,940,1138,-0.00175438596491228,-0.00350262697022767,0.0354868061874431,15807
2019-04-30,"Windham County","VT",,941,1548,-0.0127551020408163,-0.0227272727272727,-0.0171428571428571,13216
2019-04-30,"Ohio County","WV","Wheeling",942,957,0.0105596620908131,0.0170031880977683,0.013771186440678,15598
2019-04-30,"Beltrami County","MN","Bemidji",943,1311,0.00306044376434583,0.0154918667699458,0.0429594272076372,12056
2019-04-30,"Shelby County","IN","Indianapolis-Carmel-Anderson",944,1050,0.00382409177820268,0.00478468899521531,-0.00756143667296786,15617
2019-04-30,"Callaway County","MO","Jefferson City",945,984,-0.0228401191658391,-0.043731778425656,-0.0110552763819095,12516
2019-04-30,"Polk County","WI",,946,1149,0.00261780104712042,0.0177147918511957,0.0541284403669725,17500
2019-04-30,"Douglas County","WI","Duluth",947,1046,0.00576923076923077,0.0315581854043393,0.117521367521368,15735
2019-04-30,"Camden County","MO",,948,1014,-0.000985221674876847,-0.00392927308447937,0.015015015015015,23140
2019-04-30,"Nye County","NV","Pahrump",949,1349,0.00148478099480327,0.00973053892215569,0.0879032258064516,9739
2019-04-30,"Hancock County","MS","Gulfport-Biloxi-Pascagoula",950,1122,-0.00266666666666667,-0.0114537444933921,-0.00531914893617021,17675
2019-04-30,"Dunn County","WI","Menomonie",951,1251,-0.00635424940428912,-0.0188235294117647,0.0664961636828645,13876
2019-04-30,"Sweetwater County","WY","Rock Springs",952,1370,-0.0021849963583394,-0.00145772594752187,-0.01932712956335,12189
2019-04-30,"Crawford County","OH","Bucyrus",953,818,0.00987654320987654,0.0212234706616729,0.0328282828282828,15891
2019-04-30,"Sullivan County","NH","Claremont-Lebanon",954,1436,0.00279329608938547,0.00771929824561404,0.0338372930165587,20942
2019-04-30,"Stevens County","WA","Spokane-Spokane Valley",955,1363,0.00590405904059041,0.0118782479584261,0.0541376643464811,19508
2019-04-30,"Charlottesville City","VA","Charlottesville",956,1631,0.00492914356130622,0.0161993769470405,0.0946308724832215,14246
2019-04-30,"Miller County","AR","Texarkana",957,941,0.00106382978723404,0.00106382978723404,0.0228260869565217,10228
2019-04-30,"McKean County","PA","Bradford",958,926,-0.0021551724137931,0.00761697497279652,0.0357941834451902,13354
2019-04-30,"Nelson County","KY","Bardstown",959,1046,0.00287631831255992,0.0135658914728682,0.0356435643564356,15112
2019-04-30,"Madison County","OH","Columbus",960,1201,0.00250417362270451,0.00586264656616415,0.00839630562552477,10980
2019-04-30,"Susquehanna County","PA",,961,1164,-0.00171526586620926,-0.0025706940874036,0.014821272885789,4576
2019-04-30,"Waller County","TX","Houston-The Woodlands-Sugar Land",962,1515,-0.00459921156373193,-0.00785854616895874,0.021577882670263,11131
2019-04-30,"Sanilac County","MI",,963,889,0,0.00112612612612613,0.0113765642775882,11885
