SizeRank,RegionID,RegionName,RegionType,StateName,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04
39,18,Hawaii,State,HI,6225,6297,6265,6202,6188,6133,5976,5870,5872,5870,5884,5954,6037,6087,6165,6245,6207,6121,6104,6187,6293,6283,6229,6287,6352,6338,6275,6415,6951,7487,7757,7765,7674,7737,7840,7863,7845,7853,7937,7976,7902,7788,7719,7728,7729,7680,7643,7538,7400,7312,7103,6847,6640,6459,6352,6337,6391,6397,6348,6339,6346,6338,6403,6471,6443,6393,6393,6450,6530,6607,6666,6761,6917,7008,7044,7108
40,28,Maine,State,ME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13057,13785,14250,13604,12853,12530,12143,11672,11380,11425,11394,11013,10677,10268,9903,9945,9988,9931,9886,9770,9609,9497,9304,8838,8325,7911,7825,8115,8300,8383,8441,8317,8167,8188,8093,7677,7493,7647,7896,8329,8633,8670,8629,8524,8334,8177,8166
41,39,New Hampshire,State,NH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7136,7115,7122,7133,7174,7306,7416,7361,7255
42,50,Rhode Island,State,RI,6218,6234,6153,6080,6011,5832,5680,5687,5732,5741,5733,5703,5671,5672,5700,5771,5872,5968,6055,6089,6081,6067,5983,5846,5726,5525,5427,5608,5714,5683,5681,5640,5441,5155,5075,5204,5288,5272,5191,5025,4876,4839,4837,4825,4817,4795,4722,4657,4673,4696,4598,4387,4222,4136,4057,4016,4035,4090,4112,4056,3983,3935,3866,3785,3811,3923,4020,4129,4254,4326,4317,4279,4241,4180,4102,4043
43,35,Montana,State,MT,6720,7226,7675,8094,7930,7217,6772,6668,6640,6639,6682,6694,6520,6295,6263,6430,6619,6816,6977,7036,7053,6981,6807,6673,6586,6472,6274,6142,6294,6428,6376,6317,6277,6334,6567,6767,6762,6754,6849,6819,6774,6951,7046,6953,6877,6806,6739,6727,6704,6609,6460,6314,6226,6186,6164,6164,6171,6125,6077,6067,5988,5880,5774,5594,5403,5237,5081,5021,5086,5161,5167,5137,5087,4963,4790,4667
44,13,Delaware,State,DE,7047,7320,7517,7567,7480,7259,7007,6841,6722,6647,6660,6689,6671,6598,6652,6932,7174,7290,7352,7283,7150,7072,6968,6861,6812,6722,6341,5839,5734,5875,6019,6407,6945,7140,7054,7006,6956,6902,6928,6966,6964,7005,7078,7077,6985,6892,6802,6713,6688,6640,6548,6467,6337,6199,6080,5885,5695,5656,5687,5642,5522,5410,5386,5405,5351,5249,5166,5045,4911,4889,4938,4971,4957,4895,4875,4944
45,52,South Dakota,State,SD,3435,3441,3444,3397,3391,3426,3458,3464,3405,3297,3245,3232,3195,3137,3110,3282,3531,3510,3302,3210,3239,3274,3323,3359,3331,3286,3182,2980,2765,2587,2493,2496,2654,2937,3031,2982,3069,3192,3273,3342,3360,3377,3398,3361,3254,3141,3104,3098,3084,3084,3082,3042,3003,3024,3055,3079,3106,3130,3160,3165,3134,3107,3089,3069,3044,3032,3041,3052,3063,3043,2978,2919,2896,2855,2797,2786
46,3,Alaska,State,AK,3931,4002,4051,4064,4104,4177,4212,4164,4058,3923,3772,3631,3511,3400,3331,3324,3327,3309,3266,3208,3197,3237,3289,3334,3328,3319,3392,3437,3364,3269,3221,3209,3210,3204,3213,3252,3338,3447,3506,3537,3575,3584,3538,3486,3458,3423,3400,3424,3444,3374,3285,3287,3273,3152,3085,3194,3319,3359,3384,3405,3401,3385,3365,3343,3344,3371,3383,3366,3362,3380,3377,3342,3298,3284,3295,3289
47,37,North Dakota,State,ND,1491,1469,1434,1358,1274,1215,1160,1178,1257,1313,1348,1391,1425,1429,1432,1456,1470,1439,1413,1443,1515,1601,1639,1631,1629,1638,1692,1775,1788,1757,1778,1837,1893,1927,1964,2041,2144,2264,2374,2475,2609,2758,2876,2863,2742,2680,2685,2703,2762,2866,2968,3065,3178,3315,3428,3458,3470,3472,3462,3467,3460,3464,3489,3549,3660,3730,3716,3697,3681,3618,3515,3382,3261,3181,3167,3219
48,58,Vermont,State,VT,7519,7601,7596,7589,7640,7607,7466,7402,7437,7443,7371,7297,7130,6901,6957,7253,7521,7670,7782,7893,7933,7901,7796,7709,7727,7839,7997,8030,7954,7997,8092,8072,7984,7912,7835,7645,7409,7258,7157,7094,7081,7066,6959,6808,6689,6584,6533,6571,6636,6638,6520,6334,6157,5960,5744,5601,5550,5542,5547,5535,5502,5448,5377,5298,5222,5299,5511,5577,5531,5510,5463,5402,5422,5505,5519,5468
49,12,District of Columbia,State,DC,1119,1106,1073,1085,1078,1004,980,1015,1032,1046,1077,1113,1117,1082,1055,1065,1099,1147,1180,1192,1204,1188,1127,1089,1096,1095,1113,1167,1190,1191,1205,1234,1266,1287,1266,1224,1209,1210,1222,1233,1236,1242,1229,1211,1200,1156,1126,1165,1223,1242,1206,1158,1171,1205,1192,1189,1233,1336,1489,1550,1514,1505,1533,1546,1495,1419,1403,1436,1494,1534,1501,1438,1392,1363,1344,1331
50,62,Wyoming,State,WY,4430,4365,4277,4168,4083,4027,3964,3923,3901,3851,3803,3803,3787,3698,3643,3695,3725,3674,3448,3111,2997,3068,3163,3265,3320,3340,3352,3395,3437,3434,3493,3603,3653,3683,3694,3674,3729,3911,4104,4172,4172,4225,4319,4397,4429,4418,4375,4333,4290,4218,4165,4233,4393,4491,4540,4603,4605,4513,4397,4317,4258,4181,4129,4120,4101,4019,3892,3795,3754,3734,3679,3632,3617,3555,3472,3454
