"Date","RegionName","State","Metro","County","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2019-04-30,"Chisago City","MN","Minneapolis-St. Paul-Bloomington","Chisago County",6228,1488,0,-0.000671591672263264,-0.0280862181580666,2550
2019-04-30,"Aumsville","OR","Salem","Marion County",6229,1550,0.00129198966408269,0.00193923723335488,0.0347129506008011,1868
2019-04-30,"Ellsworth","WI","Minneapolis-St. Paul-Bloomington","Pierce County",6230,1210,0.0117056856187291,0.0324232081911263,0.0950226244343891,1923
2019-04-30,"Boyce","LA","Alexandria","Rapides Parish",6231,1192,-0.0173124484748557,-0.0348178137651822,0.0101694915254237,1602
2019-04-30,"Springfield","WI","Madison","Dane County",6232,1741,0.0023028209556707,0.0023028209556707,-0.0208098987626547,968
2019-04-30,"Fairfield","ME",,"Somerset County",6233,1145,0.00262697022767075,0.00881057268722467,0.102021174205967,3467
2019-04-30,"Lantana","TX","Dallas-Fort Worth-Arlington","Denton County",6234,2584,0.0019387359441644,-0.000386847195357834,-0.00347088314693405,3152
2019-04-30,"Atkinson","NH","Boston-Cambridge-Newton","Rockingham County",6235,2124,0.00520586843350686,0.023121387283237,0.0630630630630631,3651
2019-04-30,"Lower Providence","PA","Philadelphia-Camden-Wilmington","Montgomery County",6236,2205,-0.00271370420624152,-0.0107671601615074,0.0232018561484919,1607
2019-04-30,"Sedro-Woolley","WA","Mount Vernon-Anacortes","Skagit County",6237,1563,-0.000639386189258312,-0.0113851992409867,-0.0206766917293233,3546
2019-04-30,"Belfast","ME",,"Waldo County",6238,1303,0.00307929176289453,-0.000766871165644172,0.0341269841269841,3117
2019-04-30,"East Lake-Orient Park","FL","Tampa-St. Petersburg-Clearwater","Hillsborough County",6239,1211,0.00331400165700083,0.00414593698175788,0.0341588385994876,2067
2019-04-30,"Windham","CT","Worcester","Windham County",6240,1490,0.00201748486886348,0.0191518467852257,0.135670731707317,1600
2019-04-30,"Colbert","GA","Athens-Clarke County","Madison County",6241,1165,0.00517687661777394,0.015693112467306,0.0590909090909091,2014
2019-04-30,"Columbus","NC",,"Polk County",6242,1308,0.00383729854182655,0.0131680867544539,0.0131680867544539,1790
2019-04-30,"Oxford","PA","Gettysburg","Adams County",6243,1288,0.00233463035019455,0.0125786163522013,0.042914979757085,3585
2019-04-30,"Maryville","IL","St. Louis","Madison County",6244,1403,0.00142755174875089,-0.00777934936350778,-0.00142348754448399,3090
2019-04-30,"Ely","NV",,"White Pine County",6245,1179,0.0051150895140665,0.0181347150259067,0.0796703296703297,1558
2019-04-30,"Rainier","OR","Portland-Vancouver-Hillsboro","Columbia County",6246,1421,-0.00070323488045007,0.00211565585331453,0.00140944326990839,791
2019-04-30,"Clatskanie","OR","Portland-Vancouver-Hillsboro","Columbia County",6247,1427,-0.00279524807826695,0.00210674157303371,0.0288392213410238,1111
2019-04-30,"Big Sandy","TX","Longview","Upshur County",6248,1251,-0.00793021411578113,-0.0203602192638998,0.00968523002421308,742
2019-04-30,"Belle Haven","VA","Washington-Arlington-Alexandria","Fairfax County",6249,2105,0.00142721217887726,0.00429389312977099,0.0374568753080335,3212
2019-04-30,"Baxter","TN","Cookeville","Putnam County",6250,1032,-0.00289855072463768,0.00194174757281553,0.0886075949367088,2607
2019-04-30,"Lake","MI",,"Clare County",6251,890,0,0.00225225225225225,0.0446009389671361,3099
2019-04-30,"Winsted","CT","Torrington","Litchfield County",6252,1204,0.00249791840133222,-0.00165837479270315,-0.0391061452513966,2445
2019-04-30,"Altoona","WI","Eau Claire","Eau Claire County",6253,1129,-0.00265017667844523,0.00177462289263532,0.00534283170080142,2499
2019-04-30,"Tremonton","UT","Ogden-Clearfield","Box Elder County",6254,1255,-0.000796178343949045,0,0.0278460278460278,2380
2019-04-30,"Concordia","KS",,"Cloud County",6255,708,0.00998573466476462,0.0128755364806867,-0.0111731843575419,2440
2019-04-30,"Manorhaven","NY","New York-Newark-Jersey City","Nassau County",6256,2943,-0.00067911714770798,-0.00574324324324324,0.0311843027330063,1678
2019-04-30,"Summerton","SC",,"Clarendon County",6257,1060,0.004739336492891,0.0133843212237094,0.058941058941059,3113
2019-04-30,"West View","PA","Pittsburgh","Allegheny County",6258,1158,0.00871080139372822,0.0148992112182296,0.031166518254675,2521
2019-04-30,"Baldwin City","KS","Lawrence","Douglas County",6259,1293,0.000773993808049536,0.00466200466200466,0.0149136577708006,1735
2019-04-30,"Milliken","CO","Greeley","Weld County",6260,1706,0.00352941176470588,0.0130641330166271,0.0408785845027456,2360
2019-04-30,"Essex","CT","Hartford-West Hartford-East Hartford","Middlesex County",6261,1797,-0.00608407079646018,-0.00608407079646018,0.0363321799307958,2927
2019-04-30,"Mojave","CA","Bakersfield","Kern County",6262,1074,0,0.00656044985941893,0.0326923076923077,1290
2019-04-30,"Simpsonville","KY","Louisville/Jefferson County","Shelby County",6263,1430,-0.00209351011863224,-0.00763358778625954,-0.00832177531206657,1820
2019-04-30,"Max Meadows","VA",,"Wythe County",6264,1092,0.00367647058823529,0.00552486187845304,0.0489913544668588,1192
2019-04-30,"Hackberry","TX","Dallas-Fort Worth-Arlington","Denton County",6265,1713,0.00351493848857645,0.00705467372134039,0.0388114008489994,576
2019-04-30,"Berkley","MA","Providence-Warwick","Bristol County",6266,1993,-0.0025025025025025,-0.0035,-0.0343992248062015,2269
2019-04-30,"Malvern","AR","Malvern","Hot Spring County",6267,731,0.00550206327372765,0.00966850828729282,0.00412087912087912,2668
2019-04-30,"Fowler","CA","Fresno","Fresno County",6268,1416,0.0049680624556423,0.0143266475644699,0.0388848129126926,1725
2019-04-30,"Wharton","NJ","New York-Newark-Jersey City","Morris County",6269,2145,-0.000465983224603914,-0.00417827298050139,0.0165876777251185,1825
2019-04-30,"Black Jack","MO","St. Louis","Saint Louis County",6270,1269,0.00395569620253165,0.00874403815580286,0.0160128102481986,2375
2019-04-30,"Burton","OH","Cleveland-Elyria","Geauga County",6271,1249,0.000801282051282051,0.000801282051282051,-0.00636435958631663,1714
2019-04-30,"Pleasant Garden","NC","Greensboro-High Point","Guilford County",6272,1133,-0.00526777875329236,-0.00961538461538462,0.034703196347032,2980
2019-04-30,"Stafford","NJ","New York-Newark-Jersey City","Ocean County",6273,1899,0.00211081794195251,0.0106439595529537,0.011720831113479,1978
2019-04-30,"Freeburg","IL","St. Louis","Saint Clair County",6274,1095,0,0.00366636113657195,0.0528846153846154,1157
2019-04-30,"Filer","ID","Twin Falls","Twin Falls County",6275,1087,0.00555041628122109,0.00462107208872458,-0.0389036251105217,1550
2019-04-30,"Basehor","KS","Kansas City","Leavenworth County",6276,1481,-0.00269360269360269,0.0020297699594046,0.0429577464788732,2676
2019-04-30,"Hughesville","MD","Washington-Arlington-Alexandria","Charles County",6277,2083,0.00676655389076849,0.0131322957198444,0.0250984251968504,2791
2019-04-30,"Granville","NY","Glens Falls","Washington County",6278,1470,0.00068073519400953,0.0116999311768754,0.022964509394572,1959
2019-04-30,"Northridge","OH","Dayton","Montgomery County",6279,707,0.00283687943262411,0.01,0.0246376811594203,2691
2019-04-30,"Halifax","VA",,"Halifax County",6280,984,-0.0305418719211823,-0.0583732057416268,-0.0070635721493441,1968
2019-04-30,"Hartford","MI","Kalamazoo-Portage","Van Buren County",6281,974,0.0145833333333333,0.0295983086680761,0.0394877267876201,1942
2019-04-30,"San Miguel","CA","San Luis Obispo-Paso Robles-Arroyo Grande","San Luis Obispo County",6282,2168,0.00509967547519703,0.0207156308851224,0.0759305210918114,996
2019-04-30,"Souderton","PA","Philadelphia-Camden-Wilmington","Montgomery County",6283,1568,0.000638162093171666,0.0077120822622108,0.0453333333333333,1982
2019-04-30,"Fort Mitchell","AL","Columbus","Russell County",6284,1223,0,0,-0.0113177041228779,2766
2019-04-30,"Johnsburg","IL","Chicago-Naperville-Elgin","McHenry County",6285,1776,0.00112739571589628,0.00395703787450537,0.018348623853211,2439
