"RegionName","City","State","Metro","CountyName","SizeRank","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04"
"Gravesend","New York","NY","New York-Newark-Jersey City","Kings County",35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.06006715582639,2,2,2.07614942528736,2.06896551724138,2.11,2.13353154459753,2,2,1.86170212765957,2.03353658536585,2,2.01711491442543,2.1,2.02600961745085,2.16666666666667,2.20496894409938,2.10135970333745,2.21632478632479,2.12201591511936,2.15955237655745,2,2,2.15625,2.23684210526316,2.22368421052632,2.11690097799511
"Bath Beach","New York","NY","New York-Newark-Jersey City","Kings County",36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.11460526315789,2,1.95277777777778,2.02922077922078,2.01382488479263,1.85844155844156,1.82848778004073,1.6745,1.68181818181818,1.69683257918552,1.98036828963795,2.0625,2.11111111111111,2.1,1.984375,2.17857142857143,2.20526315789474,2.07738095238095
"Central Colorado Springs","Colorado Springs","CO","Colorado Springs","El Paso County",37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.03869047619048,1.04641148325359,1.04736842105263,1.04545454545455,1.0625,1.04356060606061,1.06458333333333,1.09232954545455,1.18303571428571,1.05,1.05756578947368,1.09307359307359,1.22431506849315,1.13571428571429,1.13174832267124,1.12556561085973,1.07795172863666,1.05384615384615,1.08880778588808,1.07777777777778,1.17214439655172,1.20546875,1.18494897959184,1.23764302059497,1.35416666666667,1.26179245283019,1.28545894833948,1.33333333333333
"Little Havana","Miami","FL","Miami-Fort Lauderdale-West Palm Beach","Miami-Dade County",38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.85583647122109,1.73480243161094,1.78191489361702,1.91204588910134,1.86549707602339,1.90129101667563,2.16022384563581,1.89237203967155,1.81788346703243,1.78847459397358,1.76376319758673,1.66875,1.73521850899743,1.82823129251701,1.7718183374874,1.68711656441718,1.68711656441718,1.89349112426035,1.90641247833622,1.91953846153846,1.78571428571429,1.79166666666667,1.66581746824113,1.751875,1.751875,1.79178709055877,1.86813186813187,2,2
"Gramercy","New York","NY","New York-Newark-Jersey City","New York County",39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.83333333333333,4.87222222222222,4.8844213914925,4.91071428571429,4.78147384175268,4.78787878787879,4.85982142857143,4.99,4.96969696969697,5,4.99213011542497,4.94117647058824,4.91071428571429,4.91071428571429,4.9367816091954,5.04137197192665,5.08447971240949
"South Austin","Chicago","IL","Chicago-Naperville-Elgin","Cook County",40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.11267605633803,1.16666666666667,1.2,1.11267605633803,1.12587412587413,1.15,1.08644278606965,1.09848484848485,1.1,1.10633802816901,1.11267605633803,1.20625,1.19,1.19,1,1.11267605633803,1.11883802816901,1.125,1.10990945674044,1.11403033586132,1.15613099771516,1.1875,1.16607036374478,1.15
"The Heights","Jersey City","NJ","New York-Newark-Jersey City","Hudson County",41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.09045454545455,1.87450980392157,1.93928571428571,2.02145796930388,2.13687150837989,2.11764705882353,1.99411764705882,1.99,2.01666666666667,2.03333333333333,2,2,1.944375,1.96428571428571,2.08666666666667,2.01895424836601,1.97368421052632,2.05882352941176,2.07692307692308,2.08257918552036,2.16,2.15948969578018,2.3,2.15897939156035,2.2,2.23076923076923,2.20082417582418,2.24375,2.325
"Roxbury","Boston","MA","Boston-Cambridge-Newton","Suffolk County",42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.66666666666667,1.55397301349325,1.63636363636364,1.70895908855515,1.53513807480815,1.46256684491979,1.5,1.61111111111111,1.63636363636364,1.76818181818182,1.76989247311828,1.71428571428571,1.65625,1.78636363636364,1.93376068376068,1.64690382081686,1.51086956521739,1.51724137931034,1.40625,1.54166666666667,1.52173913043478,1.61538461538462,1.69015792733278,1.75,1.59045725646123,1.55555555555556,1.71714285714286,1.79078233927188,1.71428571428571,1.53061224489796,1.66666666666667,1.75,1.64015904572565,1.72252747252747,1.81818181818182,1.85811781609195,2.08695652173913,2.08333333333333,1.97718631178707,1.9,1.7995894909688,1.65649662886113,1.60661764705882,1.68986083499006,1.66666666666667,1.81593406593407,1.88235294117647,2
"Central City","Phoenix","AZ","Phoenix-Mesa-Scottsdale","Maricopa County",43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.11123595505618,1.10531135531136,1.1981981981982,1.0625,1.1125,1.09090909090909,1.10223776223776,1.11538461538462,1.13996655518395,1.16911764705882,1.33333333333333,1.46666666666667,1.22307692307692,1.18756063756064,1.25,1.2,1.1981981981982,1.12041505791506,1.19525294525295,1.25292207792208,1.31034482758621
"Albany Park","Chicago","IL","Chicago-Naperville-Elgin","Cook County",44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.31666666666667,1.375,1.31904761904762,1.27551020408163,1.31666666666667,1.32916666666667,1.32939814814815,1.33222222222222,1.38675213675214,1.40666666666667,1.43684210526316,1.4,1.43888888888889,1.448,1.41471301535974,1.3975,1.39444444444444,1.38888888888889,1.375,1.39473684210526,1.35416666666667,1.31352282515073,1.375,1.37268518518519,1.375,1.39583333333333,1.44444444444444,1.45,1.45454545454545
"Encanto","Phoenix","AZ","Phoenix-Mesa-Scottsdale","Maricopa County",45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.09655172413793,1.07692307692308,1.16759763533957,1.25,1.15714285714286,1.12435897435897,1.11538461538462,1.18421052631579,1.12222222222222,1.19627192982456,1.17739938080495,1.08333333333333,1.08333333333333,1.06533333333333,1.21428571428571,1.25735294117647,1.20714285714286,1.25,1.25,1.17529411764706,1.17529411764706
