"Date","RegionName","State","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2019-04-30,"Clarksville, TN","TN",165,1021,0.00393313667649951,0.0139026812313803,0.0344478216818642,92007
2019-04-30,"Cedar Rapids, IA","IA",166,1116,0.0045004500450045,0.0108695652173913,-0.00711743772241993,105961
2019-04-30,"Merced, CA","CA",167,1363,0.00368188512518409,0.0103780578206079,0.06734534064213,60851
2019-04-30,"Wilmington, NC","NC",168,1446,0.00556328233657858,0.0240793201133144,0.0782997762863535,116874
2019-04-30,"Kennewick, WA","WA",169,1480,0.00338983050847458,0.00886162235855487,0.0277777777777778,76894
2019-04-30,"Greeley, CO","CO",170,1729,0.00290023201856148,0.0117027501462844,0.0542682926829268,92838
2019-04-30,"Waco, TX","TX",171,1198,-0.000834028356964137,0,0.0462882096069869,74594
2019-04-30,"Olympia, WA","WA",172,1704,0.00235294117647059,0.00471698113207547,0.047970479704797,91754
2019-04-30,"Amarillo, TX","TX",173,1170,0.00171232876712329,-0.00255754475703325,-0.010989010989011,79611
2019-04-30,"Binghamton, NY","NY",174,1166,-0.00341880341880342,-0.011864406779661,-0.0275229357798165,73155
2019-04-30,"Hagerstown, WV","MD",175,1217,0.00164609053497942,0.00578512396694215,0.0218303946263644,89343
2019-04-30,"Bremerton, WA","WA",176,1825,0.00495594713656388,0.0167130919220056,0.0536951501154734,85614
2019-04-30,"Laredo, TX","TX",177,1154,0.00260642919200695,0.00522648083623693,0.0303571428571429,57292
2019-04-30,"Lynchburg, VA","VA",178,1143,-0.00174672489082969,-0.00174672489082969,0.040983606557377,82954
2019-04-30,"Yakima, WA","WA",179,1188,0.00253164556962025,0.011063829787234,0.0321459600347524,66377
2019-04-30,"Crestview-Fort Walton Beach-Destin, FL","FL",180,1558,0.00711053652230123,0.0223097112860892,0.0519918973666442,127091
2019-04-30,"Topeka, KS","KS",181,970,0.0041407867494824,0.00936524453694069,0.0612691466083151,80288
2019-04-30,"Macon-Bibb County, GA","GA",182,1000,0.00603621730382294,0.00603621730382294,0.00603621730382294,64129
2019-04-30,"Champaign-Urbana, IL","IL",183,1142,0.000876424189307625,0.00439753737906772,0.0151111111111111,72389
2019-04-30,"Tuscaloosa, AL","AL",184,1250,0.00240577385725742,0.0072522159548751,0.0237510237510237,102104
2019-04-30,"College Station, TX","TX",185,1402,0.00214438884917798,0.00935925125989921,0.00718390804597701,57073
2019-04-30,"Sioux Falls, SD","SD",186,1195,0,0.00167644593461861,0.00843881856540084,62240
2019-04-30,"Charleston, WV","WV",187,836,-0.00594530321046373,-0.0141509433962264,-0.0445714285714286,111902
2019-04-30,"Chico, CA","CA",188,1523,0.00860927152317881,0.0262803234501348,0.0591098748261474,61222
