"Date","RegionID","RegionName","State","Metro","County","City","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2019-04-30,762839,"The Grove","CA","Riverside-San Bernardino-Ontario","Riverside County","Cathedral City",6645,382000,-0.00443054469637738,0.0159574468085106,0.0437158469945355,0.0380737874390051,,"2019-03","2019-Q1",383700,-0.00443054469637738,"2019-03"
2019-04-30,259175,"Evergreen","IN","Elkhart-Goshen","Elkhart County","Elkhart",6646,156500,-0.0044529262086514,-0.00254939451880178,0.0624575695858792,0.0580993970682648,0.0269978061744989,"2019-03","2019-Q1",157200,-0.0044529262086514,"2018-12"
2019-04-30,416149,"Bowling Woodlawn","TN","Nashville-Davidson--Murfreesboro--Franklin","Davidson County","Nashville",6647,747400,0.00254862508383635,0.0110930735930736,0.00931802835921675,0.052931748625539,0.0311620883308226,"2017-07","2017-Q3",753900,-0.00862183313436795,"2017-07"
2019-04-30,274715,"North Highlands","IN","Fort Wayne","Allen County","Fort Wayne",6648,91700,0.0110253583241455,0.0408626560726447,0.15929203539823,0.0489781152125266,0.0230683456822316,"2019-04","2019-Q2",91700,0,"2019-04"
2019-04-30,763759,"Browns Valley Central","CA","Napa","Napa County","Napa",6649,865100,-0.00494593972854842,-0.000231133710851728,0.112239650295706,0.0744986512345869,0.0415303347004978,"2019-02","2019-Q1",870200,-0.00586072167317858,"2019-01"
2019-04-30,762485,"Meridian International Business Center","CO","Denver-Aurora-Lakewood","Douglas County","Parker",6650,554000,0.00544464609800363,0.010395768739741,0.0174471992653811,0.0638208015193538,0.0498173915213551,"2019-04","2019-Q2",554000,0,"2019-04"
2019-04-30,763158,"Medlock-North Decatur","GA","Atlanta-Sandy Springs-Roswell","Dekalb County","Decatur",6651,418500,-0.00333412717313646,0.00119617224880383,0.00989382239382239,0.093967235150106,0.0527877324255497,"2019-03","2019-Q1",419900,-0.00333412717313646,"2019-02"
2019-04-30,274626,"Murdock","KS","Wichita","Sedgwick County","Wichita",6652,44400,-0.0472103004291846,-0.0882956878850103,-0.12770137524558,-0.00662309947697681,-0.0143412979570821,"2010-06","2010-Q2",60400,-0.264900662251656,"2002-11"
2019-04-30,272766,"Amberton","CA","Bakersfield","Kern County","Bakersfield",6653,265100,0.000377358490566038,0.00836820083682008,0.0424695241840346,0.0359364986485293,0.036350309354638,"2006-06","2006-Q2",348700,-0.239747634069401,"2004-12"
2019-04-30,761937,"Mooney","CA","Visalia-Porterville","Tulare County","Visalia",6654,221700,0.000902934537246049,0.0109439124487004,0.0857002938295788,0.0674047770099324,0.0341264413667905,"2006-06","2006-Q2",262300,-0.154784597788791,"2005-06"
2019-04-30,422895,"Trace Ridge","TX","Dallas-Fort Worth-Arlington","Tarrant County","Fort Worth",6655,255800,0.00313725490196078,0.00510805500982318,0.0470732705689726,0.0755797631896789,0.0479749960823792,"2019-04","2019-Q2",255800,0,"2019-04"
2019-04-30,275836,"Uptown","KS","Wichita","Sedgwick County","Wichita",6656,77100,-0.0115384615384615,0.0104849279161206,0.050408719346049,0.0630194441578,0.0153590377944894,"2019-03","2019-Q1",78000,-0.0115384615384615,"2019-02"
