"RegionName","City","State","Metro","CountyName","SizeRank","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04"
"Fenway","Boston","MA","Boston-Cambridge-Newton","Suffolk County",46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5100,5500,5600,5500,5400,5150,5200,5000,5000,5000,4800,5400,5300,5300,5475,5400,5325,5400,5600,5600,5550,5495,5300,5300,5600,5600,5500,5450,5400
"Kenmore","Boston","MA","Boston-Cambridge-Newton","Suffolk County",47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4800,5000,5000,5000,5000,5000,4900,5000,5350,5000,4700,4700,4700,4900,5400,5200,4950
"Capitol","Madison","WI","Madison","Dane County",48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1995,2137.5,2137.5,2185,2150,2010,2000,1880,1860,1870,2185,2185,2040,2000,1895,1897.5,1960,1830,1845
"Mission Hill","Boston","MA","Boston-Cambridge-Newton","Suffolk County",49,,,,,,,,,,,,3600,3400,3400,3400,3250,3300,3400,3300,3350,3350,3400,3400,3450,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3750,3800,3800,3800,3800,3800,3800,3800,3800,3700,3600,3750,3800,4000,4000,3999,3900,3900,3850,3850,3800,3650,3600,3600,3775,4000,4100,4100,4000,4000,4000,3900,3800,3800,3650,3500,3600,4000,4200,4200,4200,4000,4000,3999.5,3900,3800,3850,4000,4000,4200,4200,4200,4100,4000,4000,4000,4000,3950,3800,3888,4000,4100,4200,4200,4200,4195
"Union Square","Somerville","MA","Boston-Cambridge-Newton","Middlesex County",50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3700,3750,3850,3800,3400,3200,3100,3100,3200,3200,3500,3500,4125,4132.5,4000,4000,4000,3600,3500,3600,3750,3750,4000,4100,4300
"North Central","Philadelphia","PA","Philadelphia-Camden-Wilmington","Philadelphia County",51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2250,2400,2150,2200,2200,2200,2200,2000,2000,2000,2000,2000,2000,2200,2200,2200,2220,2200,2200,2200,2200,2000,2000,2200,2200,2255,2200,2200,2200,2200,2200,2200,2100,2100,2000,2100,2200,2360,2400,2300,2300,2200,2300,2200,2200,2200,2200,2300,2400,2360,2340,2300,2300,2200,2200,2200,2200,2200,2200,2380,2400,2400,2400,2400,2400,2370,2300
"North Cambridge","Cambridge","MA","Boston-Cambridge-Newton","Middlesex County",52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4500,4800,4500,4500,4500,4250,3900,4500,4350,4350,4300,4450,4450,4450,4800
"Mid-Cambridge","Cambridge","MA","Boston-Cambridge-Newton","Middlesex County",53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4450,4600,4600,4450,4450,4750,4750,4475,4750,4200,4675,4750,4750,4750,4600
"Winter Hill","Somerville","MA","Boston-Cambridge-Newton","Middlesex County",54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3800,3647.5,3550,3475,3475,3475,3475,3300,3300,2950,3000,2950,3250,3800,3800,3685,3525,3575,3700,3747.5,3800,3600,3600,3600,3600,3685,3700
"Wrightwood Neighbors","Chicago","IL","Chicago-Naperville-Elgin","Cook County",55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4200,3995,3995,3900,3710,3600,3600,3600,3600,3600,3600,3900
"West Newton","Newton","MA","Boston-Cambridge-Newton","Middlesex County",56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3500,3450,3250,3250,3250,3250,3450,3100,3200,3600,3500,3400,3800,4200
"East Somerville","Somerville","MA","Boston-Cambridge-Newton","Middlesex County",57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3800,3775,3675,3675,3850,3900,3900,4400,4400,4000,3900,3875,4000,3950
"Spring Hill","Somerville","MA","Boston-Cambridge-Newton","Middlesex County",58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3475,4000,4000,4200,3800,3850,3875,3800,3875,3950,3750,3450,3200,3360,3700,4100,4100,4000,4000,4000,3800,3750,3750,3225,3500,4000,4400,4400
"Davis Square","Somerville","MA","Boston-Cambridge-Newton","Middlesex County",59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4400,4000,4000,4000,3962.5,3800,3900,4000,4000,4400,4500,4800,4600
"Northwood Point","Irvine","CA","Los Angeles-Long Beach-Anaheim","Orange County",60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4250,4390,4350,4300,4225,4300,4100,4100,4200,4200,4200,4200,4100
"Magoun Square","Somerville","MA","Boston-Cambridge-Newton","Middlesex County",61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4000,3900,4000,4550,4495,4395,4200,3995,3995,3995,3950,3950,3800,3800
"East Hampton North","East Hampton","NY","New York-Newark-Jersey City","Suffolk County",62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34000,37750,35000,38000,37750,38000,38000,40000,38000,35000,35000,35000,32000,30000,30000,28250,30000,28500,30000,27000,30000,30000,29250,28500,27000,30000
"Mountain House","Tracy","CA","Stockton-Lodi","San Joaquin County",63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2612.5,2600,2600,2600,2650,2650,2700,2750,2725,2725,2700,2672.5,2650,2597.5,2599.5,2697.5,2750,2775,2795
"Ball Square","Somerville","MA","Boston-Cambridge-Newton","Middlesex County",64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3600,3600,3900,3800,3800,3800,3700,3700,3800,3940,3940,4200,4200,4200,4000,3970,3700,3900,3960,4100,4000,3890,4000,4400,4000
"Corey Hill","Brookline","MA","Boston-Cambridge-Newton","Norfolk County",65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4800,4800,4800,4800,5000,4900,4500,4500,4100,4500,4800,5000,4900,4800
"Northwest Harbor","East Hampton","NY","New York-Newark-Jersey City","Suffolk County",66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48750,45000,43500,40000,40000,39750,33000,35000,40000,39500,40000,39150,35000,32000,35000,30000,30000,30000,29750,27750,28000,29500,30000,28750,28000,27500,27000
"Orange County Great Park","Irvine","CA","Los Angeles-Long Beach-Anaheim","Orange County",67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4500,5000,4500,4500,4500,4650,4600,4815,4800,4500,4370,4400,4400,4399
