SizeRank,RegionID,RegionName,RegionType,StateName,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04
24,25,Louisiana,State,LA,17150,16905,17078,17268,18187,17858,18440,18050,17261,18334,17531,16425,16632,16054,16180,17716,17560,17812,18728,17779,17455,18095,16714,16394,15997,15862,16472,18209,17339,18143,19145,18241,18773,17450,16368,15986,15467,15656,17116,16892,17581,18985,18443,19809,18167,18460,18358,16531,16817,18960,20427,19652,23074,22208,22883,23760,23119,22866,23492,21475,22755,22329,23655,24294,25858,25292,25206,25664,24210,25248,23503,21969,23336,22722,23245,23642
25,24,Kentucky,State,KY,26306,25801,27586,28642,30779,30072,31211,29738,29158,29872,27390,25354,25673,23980,25117,27918,27523,28466,30503,29241,29135,29493,26979,25703,24496,23621,24474,27280,25065,26772,27770,27081,27275,25133,23594,22117,20466,20450,22559,22289,22907,24380,23631,25083,23339,22643,22284,19339,19170,19461,20741,19643,21043,20672,20966,22086,21026,20500,20575,17779,18182,17436,17828,18492,20539,20732,20776,22074,20587,21740,19760,17562,18127,16872,17176,17568
26,46,Oregon,State,OR,21634,21248,22423,23968,26418,26146,27894,28364,27265,26873,24240,21742,21432,20105,21517,25077,26557,28481,30205,29191,28568,27989,23981,21922,20086,20185,21363,24796,23912,26512,27448,26839,27124,24021,21175,18905,16657,16545,18546,18673,20506,23519,23327,25478,23431,21408,20150,16421,15365,15421,16985,17239,20066,20186,21762,24032,22150,20772,19474,15538,16073,14930,16124,17827,20963,21315,22158,24191,22402,22898,19414,16621,17029,15456,16459,17522
27,45,Oklahoma,State,OK,23319,22577,23304,24210,25329,25100,26225,25301,23932,24270,22694,20886,22068,20600,21221,23752,22710,23469,25067,24038,23777,23939,22052,21108,20464,20808,21272,23526,21248,22040,23863,23231,24269,23007,22745,21726,21046,21616,23863,24098,24464,25589,24959,26236,24464,23916,23805,21413,21758,22773,26116,24658,25513,24655,25484,26744,24911,24137,24356,21809,22785,21392,22042,22631,24327,23815,24102,25121,23461,23830,21789,19751,20603,19109,19146,19863
28,11,Connecticut,State,CT,24730,24328,26112,28559,31627,30870,31444,30381,30018,30672,27883,25246,24527,23818,25712,30090,32036,33805,35008,33341,33491,32946,32017,30228,25602,24779,25873,30255,30798,32687,34404,33144,33838,30838,28552,25828,22682,22467,25989,27087,28849,30688,28663,29433,27443,26499,25017,21905,20681,20369,22965,23035,26077,25100,24414,29208,26243,25347,24393,20349,19476,17699,18930,20617,23519,23085,22937,23384,22430,22808,19841,17284,17161,16691,17854,19669
29,19,Iowa,State,IA,17331,17504,18306,19392,20833,20542,21134,20436,19870,20409,18485,16667,16568,15819,16788,19124,18952,19663,20745,19776,19703,20166,18106,16924,15994,16522,16987,18092,14913,16187,16710,16298,17156,16212,15255,14396,13216,13298,14935,15386,15902,17285,16736,17702,16607,16433,16962,14570,14318,15008,16066,15741,16603,15666,15826,16749,16729,16235,15886,13786,14235,13763,15033,15434,16781,16638,16473,17795,16953,17477,15738,14009,14358,13384,13730,15138
30,34,Mississippi,State,MS,14535,14448,15301,15594,16170,16071,16608,16046,15660,16280,15239,14276,14785,13782,13905,15018,14777,15248,15802,15242,15235,15460,14702,14380,13967,14490,14919,15320,11943,12582,13328,13159,13347,14097,13842,13374,12756,12979,14193,14155,14667,15367,14842,16423,15404,15267,15273,14066,14181,14833,15285,14467,14997,14165,14563,15213,14358,13814,14276,13271,13713,13315,13471,14125,15220,14966,14628,15286,14674,14993,13791,12576,13195,13181,13512,13722
31,6,Arkansas,State,AR,21870,21234,22103,23168,24925,24791,25816,24152,22945,24753,23385,22111,22887,22111,22747,24494,23686,23389,24481,23712,23451,24291,22777,22255,21737,23220,22472,24767,17998,18844,21662,21263,22281,20310,20007,19318,18741,19752,21424,21136,21620,23280,22488,23281,21635,21355,20998,19282,19289,19845,20568,20070,22025,19457,19904,21055,19834,19040,19339,17566,18088,17459,17690,18905,20362,19807,19962,20888,19589,20215,18825,17235,17970,17610,17908,18517
32,23,Kansas,State,KS,13907,13538,14219,14945,15990,15638,16134,15255,14808,15419,14024,12904,12912,12248,13025,14893,15214,15525,16493,14999,14964,15311,13851,12905,12128,12583,13014,14985,13378,14021,15156,14737,14725,13735,13133,12364,11409,11589,13255,13262,13993,15338,14630,15633,14490,14044,13901,11899,11812,12391,13697,13912,14937,14266,14419,15094,14132,13864,13687,11830,12139,11656,12343,12979,14490,14376,13990,14694,13642,13725,12338,11070,11369,10625,10978,11778
33,55,Utah,State,UT,13510,12938,13866,14754,16786,16668,17532,17409,17323,17813,17355,15335,16205,15507,16571,18841,18417,19154,20468,19334,18912,19102,16990,16112,15193,15610,15615,15818,12577,13056,13541,13007,13353,12448,11660,10661,9733,10312,11622,11380,11474,13379,13280,14676,13194,12699,12341,10433,9717,10046,10459,9664,10979,10697,11352,12664,12113,11664,11258,9329,10447,9965,10664,11433,13856,13766,13998,15806,14808,16269,14401,12523,13404,12673,13167,13798
34,42,Nevada,State,NV,15141,13729,13859,14084,15362,14781,15924,16514,16857,18762,17806,16441,16913,16192,17208,18717,17689,18292,19674,18769,19393,20333,18561,17952,17052,18550,17446,19446,17749,18253,20139,19620,20873,19551,19026,17941,16816,17533,19314,18081,18292,21778,21451,25257,23605,22811,22484,19537,18957,19334,21118,20037,21211,19662,19257,20094,18371,17948,17547,14900,15896,15585,16014,15850,13550,12954,13684,15741,15590,17341,16170,15107,17261,16750,17235,17690
