"RegionName","City","State","Metro","CountyName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04"
"Aurora Highlands","Aurora","CO","Denver-Aurora-Lakewood","Arapahoe County",373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,280000,247450,280000,3e+05,3e+05,299750,304900,305000,287450,298750,305000,318500,314900,295000,3e+05
"Drake","Des Moines","IA","Des Moines-West Des Moines","Polk County",374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90500,105500,109900,99900,106000,98500,94950,109950,113500,115000,106000,112500
"North Central","Hollywood","FL","Miami-Fort Lauderdale-West Palm Beach","Broward County",375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80400,74900,79000,76250,79900,79450,71250,74900,81500,84100,88500,87750,89900,86995,85995,87250,85000,86000,93200,95000,92450,98000,115000,115000,120000,118000,112450,99725,108900,108900,101500,98000,94000,97000,94000,97500,91950,92000,95000,92000,99500,96000,99000,101199.5,1e+05,99500,95000,91900,91900,89997.5,92000,93000
"Downtown","Honolulu","HI","Urban Honolulu","Honolulu County",376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,245000,239000,267000,269000,316000,318000,316000,325000,353500,330000,320000,335000,325000,329000,320000,335000,276500,275000,286900,295000,315000,335000,335000
"Villas","Fort Myers","FL","Cape Coral-Fort Myers","Lee County",377,,,,,,,,,,,,,,,,,,49650,48000,50000,53450,57900,59450,56400,59950,59500,57450,59500,61125,62000,63450,62000,62000,69500,68900,69200,64900,64900,64950,68500,69500,69700,69900,69900,74900,77750,80900,80900,82500,72900,69900,78000,81500,80450,83000,81900,83100,84950,84900,85000,94450,1e+05,99950,101250,102500,105000,99000,104900,109900,112500,114500,109500,114800,106000,105000,109500,109500,110000,112000,110000,112000,109900,114950,110000,109900,112000,116900,118900,119700,119500,119900,121700,120950,122700,122450,118000,119900,120000,122388.5,119900,119250,119900,126000,124945,127388.5,124900,124900,124900,124900,124500,128500,129700
"Spenard","Anchorage","AK","Anchorage","Anchorage Borough",378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,167900,159900,137500,150000,165500,179900,169450,167250,165500,159900,159900,137500,130000
"Turner","Kansas City","KS","Kansas City","Wyandotte County",379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83450,85000,91250,89900,84900,84700,87500,87500,99431,102614.5,97181,110000
"Bagley","Detroit","MI","Detroit-Warren-Dearborn","Wayne County",380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45000,45000,40850,40000,40000,39950,40000,41250,45000,45000,49900,45000,45000,45000,49000,49949.5,49900,49900,54900,50000,49999,53500,50000,52900,58000,57000,53500,60200,64950,64950,63000,64900,64950,64900,58900,66500,68950,67000,69900,74000,74500,69900,69200,69200,68000,65000
"Downtown","Hampton","VA","Virginia Beach-Norfolk-Newport News","Hampton City",381,128300,124950,119900,122450,119975,121900,124900,124900,122900,119900,119900,115000,114900,104000,106100,110812.5,114950,105900,1e+05,1e+05,99900,99000,91450,85900,99000,96499.5,96500,110000,1e+05,99000,100350,105300,104900,1e+05,99700,105000,99500,96300,103900,103900,100950,96300,98000,98000,102400,96900,99900,102450,99900,99900,99900,99000,98500,108000,105000,105000,99900,90000,95000,110000,97500,96750,98500,105000,1e+05,1e+05,99950,103000,101300,1e+05,99000,92450,99000,90000,105000,99997.5,105450,1e+05,105000,108950,1e+05,104950,99000,99950,106000,111000,113000,116400,109500,109975,107250,110000,117050,121500,119900,111500,122000,110000,110000,110500,119050,109900,110250,110250,114950,113400,113900,114900,110000,110500,114900,118000
"Thompsonville","Enfield","CT","Hartford-West Hartford-East Hartford","Hartford County",382,165000,165000,172900,173900,170999,159900,154900,159450,155000,155000,159900,159900,164700,164900,159900,159900,159900,157450,159700,159900,159450,149900,149000,140000,137000,142450,144900,144000,137900,138200,135000,135450,132900,134900,129900,129900,132900,134900,139900,139900,139900,139900,137400,134900,131000,134900,131000,130000,124900,124900,137900,137500,137900,138694,137900,135000,129900,126200,119900,119900,125000,120400,124900,124900,139900,147900,149900,142400,142500,139000,139900,139900,135900,139900,134900,134950,139900,139900,139000,149900,142400,139900,134900,134900,131500,133250,136900,144900,149900,149900,149900,151900,144900,149900,149900,154900,155000,149900,149900,149900,148450,139900,139900,144900,144950,154900,149900,146900,149900,144900,148900,154900
"Russian Jack Park","Anchorage","AK","Anchorage","Anchorage Borough",383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139900,145000,129000,135700,137900,118950,128450,118000,116000,128500,124000,128750,131000,128750,124500,118500,116000,112000,112500,112000,126250,119450,119900,119000,131305,127000,119900,127000,132900,137900,129949.5,128000,126500,130000,119900,122500,122500,122450
"University","Stockton","CA","Stockton-Lodi","San Joaquin County",384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,239999.5,244925,241249.5,235000,244999.5,249000,249000,249450,249900,249995,264500,264950
"East Akron","Akron","OH","Akron","Summit County",385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34900,32900,32000,32900,33900,34900,34900,39450,39900,39900,35000,35000,34900,37270.5,35999.5,39056,39900,37500,35000,35150,34200,34200,35000,35000,37000,39900,40000,39950,39900,39900,39900,44000,42900,40000,37500,35000,35000
"South Raleigh","Raleigh","NC","Raleigh","Wake County",386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149900,149900,156827,159925,162450,160000,161831,165000,170000,175900,177000,175450,169000,169500
