"Date","RegionName","State","Metro","County","City","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2019-04-30,"49343","MI","Grand Rapids-Wyoming","Kent County","Sand Lake",11409,1223,0.00410509031198686,0.0065843621399177,0.0320675105485232,2512
2019-04-30,"20837","MD","Washington-Arlington-Alexandria","Montgomery County","Poolesville",11410,2309,-0.00259179265658747,-0.00559862187769164,0.0280498664292075,2171
2019-04-30,"37022","TN","Nashville-Davidson--Murfreesboro--Franklin","Sumner County","Bethpage",11411,1155,0.000866551126516464,-0.0128205128205128,0.0330948121645796,2691
2019-04-30,"14568","NY","Rochester","Wayne County","Walworth",11412,1480,-0.0179163901791639,-0.0358306188925081,-0.00403768506056528,2088
2019-04-30,"95665","CA",,"Amador County","Pine Grove",11413,1628,-0.00610500610500611,-0.0121359223300971,-0.0204572803850782,1883
2019-04-30,"01719","MA","Boston-Cambridge-Newton","Middlesex County","Boxboro",11414,2537,0.000788954635108481,0.000788954635108481,0.026294498381877,2081
2019-04-30,"25320","WV","Charleston","Kanawha County","Sissonville",11415,837,-0.0106382978723404,-0.0244755244755245,-0.063758389261745,2542
2019-04-30,"44606","OH","Wooster","Wayne County","Apple Creek",11416,1091,-0.0171171171171171,-0.0438212094653812,-0.11802748585287,1504
2019-04-30,"62563","IL","Springfield","Sangamon County","Rochester",11417,1180,0.00854700854700855,0.0243055555555556,0.213991769547325,3502
2019-04-30,"47041","IN","Cincinnati","Dearborn County","Sunman",11418,1099,-0.00632911392405063,-0.0213713268032057,-0.0359649122807018,1375
2019-04-30,"21754","MD","Washington-Arlington-Alexandria","Frederick County","Ijamsville",11419,2308,0.00260642919200695,0.00130151843817787,0.00654164849542085,2093
2019-04-30,"93434","CA","Santa Maria-Santa Barbara","Santa Barbara County","Guadalupe",11420,1783,0.00224845418774592,0.0142207053469852,0.0644776119402985,1389
2019-04-30,"72634","AR",,"Marion County","Flippin",11421,921,0.00108695652173913,0,0.0199335548172757,2879
2019-04-30,"18066","PA","Allentown-Bethlehem-Easton","Lehigh County","Lynn",11422,1633,-0.00548112058465286,-0.0048750761730652,-0.0221556886227545,2234
2019-04-30,"18517","PA","Scranton--Wilkes-Barre--Hazleton","Lackawanna County","Taylor",11423,1002,-0.00595238095238095,-0.0137795275590551,-0.000997008973080758,1875
2019-04-30,"22842","VA",,"Shenandoah County","Mount Jackson",11424,1186,-0.0124895920066611,-0.0230642504118616,0.0991658943466172,1578
2019-04-30,"10595","NY","New York-Newark-Jersey City","Westchester County","Valhalla",11425,3286,-0.00212572122684482,-0.0138055222088836,-0.0397428404441847,1816
2019-04-30,"17578","PA","Lancaster","Lancaster County","Reamstown",11426,1159,0.00346320346320346,0.00433275563258232,0.0238515901060071,1926
2019-04-30,"02639","MA","Barnstable Town","Barnstable County","Dennis",11427,1713,0.00116890707188778,0.00824014125956445,0.070625,4006
2019-04-30,"50226","IA","Des Moines-West Des Moines","Polk County","Polk City",11428,1643,0.00674019607843137,0.0012187690432663,-0.0283855706682436,1922
2019-04-30,"40162","KY","Elizabethtown-Fort Knox","Hardin County","Rineyville",11429,1227,0.00904605263157895,0.0216486261448793,0.00987654320987654,1862
2019-04-30,"02837","RI","Providence-Warwick","Newport County","Little Compton",11430,2543,0.00315581854043392,0.0055357848952155,-0.0245492903720752,2210
2019-04-30,"08809","NJ","New York-Newark-Jersey City","Hunterdon County","Union",11431,2200,0.00410771337288909,-0.00452488687782805,-0.0282685512367491,2134
2019-04-30,"76365","TX","Wichita Falls","Clay County","Henrietta",11432,1029,0.000972762645914397,0.00194741966893866,0.0127952755905512,1601
2019-04-30,"49106","MI","Niles-Benton Harbor","Berrien County","Lake",11433,1246,0.00809061488673139,0.00483870967741936,0.0479394449116905,2096
2019-04-30,"08059","NJ","Philadelphia-Camden-Wilmington","Camden County","Mount Ephraim",11434,1492,-0.00267379679144385,0.00268817204301075,0.00606877950101146,2158
